tiempo,Personas,Etica
0,0,30
1,0,30
2,4,30
3,5,30
4,13,30
5,13,30
6,14,30
7,18,30
8,23,30
9,29,30
10,30,30
11,34,30
12,39,30
13,39,30
14,41,30
15,42,30
16,46,30
17,50,30
18,54,30
19,58,30
20,62,30
21,67,30
22,71,30
23,72,30
24,76,30
25,77,30
26,83,30
27,86,30
28,89,30
29,92,30
30,94,30
31,95,30
32,98,30
33,98,30
34,105,30
35,106,30
36,109,30
37,110,30
38,117,30
39,117,30
40,119,30
41,121,30
42,129,30
43,132,30
44,138,30
45,140,30
46,142,30
47,143,30
48,147,30
49,148,30
50,150,30
51,151,30
52,156,30
53,159,30
54,163,30
55,165,30
56,169,30
57,172,30
58,176,30
59,178,30
60,182,30
61,182,30
62,185,30
63,185,30
64,191,30
65,192,30
66,193,30
67,193,30
68,197,30
69,199,30
70,202,30
71,205,30
72,207,30
73,211,30
74,213,30
75,214,30
76,217,30
77,221,30
78,226,30
79,230,30
80,236,30
81,236,30
82,242,30
83,245,30
84,248,30
85,251,30
86,256,30
87,257,30
88,260,30
89,261,30
90,265,30
91,265,30
92,270,30
93,272,30
94,279,30
95,284,30
96,291,30
97,293,30
98,297,30
99,297,30
100,298,30
0,0,90
1,0,90
2,70,90
3,83,90
4,106,90
5,110,90
6,125,90
7,132,90
8,141,90
9,145,90
10,155,90
11,158,90
12,170,90
13,174,90
14,186,90
15,191,90
16,199,90
17,205,90
18,215,90
19,221,90
20,225,90
21,232,90
22,237,90
23,245,90
24,246,90
25,251,90
26,254,90
27,257,90
28,257,90
29,263,90
30,266,90
31,270,90
32,272,90
33,277,90
34,277,90
35,279,90
36,284,90
37,284,90
38,286,90
39,286,90
40,290,90
41,291,90
42,294,90
43,295,90
44,297,90
45,297,90
46,297,90
47,298,90
48,298,90
49,299,90
50,299,90
51,299,90
52,300,90
53,300,90
54,300,90
55,300,90
56,300,90
57,300,90
58,300,90
59,300,90
60,300,90
61,300,90
62,300,90
63,300,90
64,300,90
65,300,90
66,300,90
67,300,90
68,300,90
69,300,90
70,300,90
71,300,90
72,300,90
73,300,90
74,300,90
75,300,90
76,300,90
77,300,90
78,300,90
79,300,90
80,300,90
81,300,90
82,300,90
83,300,90
84,300,90
85,300,90
86,300,90
87,300,90
88,300,90
89,300,90
90,300,90
91,300,90
92,300,90
93,300,90
94,300,90
95,300,90
96,300,90
97,300,90
98,300,90
99,300,90
100,300,90
